partstrat;ML;BF;sd;se;brlenspr
neoML;-1597.25;-0.43;0.1;0.1;default
neo2ML;-1593.59;3.23;0.12;0.12;default
anaML;-1608.51;-11.69;0.13;0.13;default
ICML;-1595.12;1.71;0.1;0.1;default
FML;-1602.45;-5.62;0.12;0.12;default
ranML;-1607.49;-10.67;0.11;0.11;default
optML;-1502.4;94.42;0.12;0.12;default
unpartML;-1596.83;0;0.14;0.14;default
neoML;-1809.23;-107.46;3.62;3.62;exponential
neo2ML;-1773.88;-72.12;4.83;4.83;exponential
anaML;-1740.93;-39.16;2.87;2.87;exponential
ICML;-1699.71;2.06;2.67;2.67;exponential
FML;-1704.28;-2.51;1.36;1.36;exponential
ranML;-1716.88;-15.11;1.6;1.6;exponential
optML;-1601.04;100.73;0.22;0.22;exponential
unpartML;-1701.77;0;1.71;1.71;exponential
neoML;-1617.92;-1.21;0.25;0.25;clock
neo2ML;-1614.75;1.96;0.38;0.38;clock
anaML;-1628.38;-11.67;0.13;0.13;clock
ICML;-1614.81;1.9;0.22;0.22;clock
FML;-1621.42;-4.71;0.25;0.25;clock
ranML;-1627.11;-10.39;0.33;0.33;clock
optML;-1525.14;91.57;0.38;0.38;clock
unpartML;-1616.72;0;0.18;0.18;clock
