partstrat;ML;BF;sd;se;brlenspr
neoML;-2548.43;23.65;0.35;0.35;default
neo2ML;-2549.78;22.3;0.21;0.21;default
anaML;-2603.99;-31.91;0.29;0.29;default
ICML;-2606.52;-34.45;0.37;0.37;default
FML;-2598.88;-26.81;1.44;1.44;default
ranML;-2605.21;-33.13;0.09;0.09;default
optML;-2576.09;-4.01;0.24;0.24;default
unpartML;-2572.08;0;0.33;0.33;default
neoML;-2974.29;-312.11;0.4;0.4;exponential
neo2ML;-2855.98;-193.8;0.34;0.34;exponential
anaML;-2668.61;-6.43;0.34;0.34;exponential
ICML;-2915.44;-253.26;0.17;0.17;exponential
FML;-2809.39;-147.22;3.66;3.66;exponential
ranML;-2933.78;-271.61;0.23;0.23;exponential
optML;-2893.66;-231.49;0.54;0.54;exponential
unpartML;-2662.17;0;0.39;0.39;exponential
neoML;-2581.41;21.59;0.52;0.52;clock
neo2ML;-2580.62;22.37;0.59;0.59;clock
anaML;-2632.16;-29.16;0.44;0.44;clock
ICML;-2635.52;-32.53;0.6;0.6;clock
FML;-2629.61;-26.61;0.49;0.49;clock
ranML;-2635.49;-32.5;0.75;0.75;clock
optML;-2611.02;-8.03;0.4;0.4;clock
unpartML;-2602.99;0;0.26;0.26;clock
