partstrat;ML;BF;sd;se;brlenspr
neoML;-3789.31;-47.16;0.5;0.5;default
neo2ML;-3778.17;-36.01;0.35;0.35;default
anaML;-3807.58;-65.42;0.6;0.6;default
ICML;-3793.97;-51.81;0.44;0.44;default
FML;-3772.06;-29.9;0.39;0.39;default
ranML;-3807.58;-65.42;0.4;0.4;default
optML;-3678.36;63.8;0.68;0.68;default
unpartML;-3742.16;0;0.68;0.68;default
neoML;-3788.94;-44.67;0.24;0.24;gamma
neo2ML;-3778.48;-34.21;0.41;0.41;gamma
anaML;-3808.51;-64.24;0.34;0.34;gamma
ICML;-3795.31;-51.03;0.51;0.51;gamma
FML;-3771.94;-27.66;0.3;0.3;gamma
ranML;-3807.45;-63.17;0.47;0.47;gamma
optML;-3678.49;65.78;0.25;0.25;gamma
unpartML;-3744.27;0;0.27;0.27;gamma
neoML;-3837.81;-36.53;1.27;1.27;clock
neo2ML;-3821.56;-20.28;0.35;0.35;clock
anaML;-3852.92;-51.63;2.02;2.02;clock
ICML;-3836.82;-35.54;1.09;1.09;clock
FML;-3813.64;-12.36;0.89;0.89;clock
ranML;-3850.42;-49.14;1.59;1.59;clock
optML;-3726.99;74.29;1.58;1.58;clock
unpartML;-3801.28;0;1.26;1.26;clock
