partstrat;ML;BF;sd;se;brlenspr
neoML;-260.96;-1.5;0.03;0.03;default
neo2ML;-259.59;-0.13;0.02;0.02;default
anaML;-259.76;-0.29;0.01;0.01;default
ICML;-259.41;0.05;0.52;0.52;default
FML;-259.09;0.37;0.03;0.03;default
ranML;-258.71;0.76;0.48;0.48;default
optML;-253.65;5.82;0.05;0.05;default
unpartML;-259.46;0;0.03;0.03;default
neoML;-278.01;-4.28;0.04;0.04;exponential
neo2ML;-280.88;-7.15;0.03;0.03;exponential
anaML;-281.58;-7.85;0.04;0.04;exponential
ICML;-290.06;-16.33;0.1;0.1;exponential
FML;-287.97;-14.24;0.07;0.07;exponential
ranML;-280.47;-6.74;0.03;0.03;exponential
optML;-276;-2.27;0.03;0.03;exponential
unpartML;-273.73;0;0.02;0.02;exponential
neoML;-259.94;-1.24;0.65;0.65;gamma
neo2ML;-259.27;-0.58;0.03;0.03;gamma
anaML;-259.37;-0.67;0.02;0.02;gamma
ICML;-259.71;-1.02;0.03;0.03;gamma
FML;-258.37;0.33;0.41;0.41;gamma
ranML;-257.52;1.18;1.2;1.2;gamma
optML;-252.23;6.47;0.82;0.82;gamma
unpartML;-258.7;0;0.02;0.02;gamma
