partstrat;ML;BF;sd;se;brlenspr
neoML;-3761.72;-60.8;0.5;0.5;default
neo2ML;-3774.47;-73.55;0.41;0.41;default
anaML;-3779.76;-78.83;0.55;0.55;default
ICML;-3698.06;2.87;0.54;0.54;default
FML;-3651.45;49.48;0.74;0.74;default
ranML;-3781.71;-80.79;0.64;0.64;default
optML;-3646.65;54.28;0.66;0.66;default
unpartML;-3700.92;0;0.67;0.67;default
neoML;-3760.45;-59.08;0.46;0.46;gamma
neo2ML;-3774.16;-72.79;0.48;0.48;gamma
anaML;-3777.92;-76.55;2.48;2.48;gamma
ICML;-3694.09;7.28;2.41;2.41;gamma
FML;-3651.03;50.34;0.49;0.49;gamma
ranML;-3781.15;-79.78;0.26;0.26;gamma
optML;-3647.65;53.72;0.57;0.57;gamma
unpartML;-3701.37;0;0.66;0.66;gamma
neoML;-3756.89;-64;1.02;1.02;clock
neo2ML;-3770.35;-77.47;0.67;0.67;clock
anaML;-3777.73;-84.85;0.57;0.57;clock
ICML;-3688.54;4.34;0.54;0.54;clock
FML;-3643.04;49.84;0.83;0.83;clock
ranML;-3781.22;-88.34;2.64;2.64;clock
optML;-3643.95;48.94;1.1;1.1;clock
unpartML;-3692.88;0;0.75;0.75;clock
